Title:               Industrial Production Index
Series ID:           INDPRO
Source:              Board of Governors of the Federal Reserve System
Release:             G.17 Industrial Production and Capacity Utilization
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Monthly
Units:               Index 2007=100
Date Range:          1919-01-01 to 2013-03-01
Last Updated:        2013-04-16 8:46 AM CDT
Notes:               

DATE           VALUE
1926-07-01    6.5482
1926-08-01    6.6287
1926-09-01    6.7361
1926-10-01    6.7361
1926-11-01    6.7092
1926-12-01    6.6824
1927-01-01    6.6556
1927-02-01    6.7092
1927-03-01    6.7897
1927-04-01    6.6287
1927-05-01    6.6824
1927-06-01    6.6556
1927-07-01    6.5750
1927-08-01    6.5750
1927-09-01    6.4677
1927-10-01    6.3335
1927-11-01    6.3335
1927-12-01    6.3603
1928-01-01    6.4945
1928-02-01    6.5482
1928-03-01    6.6019
1928-04-01    6.5750
1928-05-01    6.6556
1928-06-01    6.7092
1928-07-01    6.7897
1928-08-01    6.9239
1928-09-01    6.9776
1928-10-01    7.1118
1928-11-01    7.2460
1928-12-01    7.3802
1929-01-01    7.4875
1929-02-01    7.4607
1929-03-01    7.4875
1929-04-01    7.6217
1929-05-01    7.7559
1929-06-01    7.8096
1929-07-01    7.9169
1929-08-01    7.8364
1929-09-01    7.7827
1929-10-01    7.6485
1929-11-01    7.2728
1929-12-01    6.9508
1930-01-01    6.9508
1930-02-01    6.9239
1930-03-01    6.8166
1930-04-01    6.7629
1930-05-01    6.6556
1930-06-01    6.4677
1930-07-01    6.1725
1930-08-01    6.0383
1930-09-01    5.9310
1930-10-01    5.7699
1930-11-01    5.6358
1930-12-01    5.5016
1931-01-01    5.4747
1931-02-01    5.5016
1931-03-01    5.6089
1931-04-01    5.6358
1931-05-01    5.5552
1931-06-01    5.4211
1931-07-01    5.3405
1931-08-01    5.1527
1931-09-01    4.9112
1931-10-01    4.7233
1931-11-01    4.6696
1931-12-01    4.6428
1932-01-01    4.5086
1932-02-01    4.4013
1932-03-01    4.3476
1932-04-01    4.0524
1932-05-01    3.9182
1932-06-01    3.7840
1932-07-01    3.6767
1932-08-01    3.7840
1932-09-01    4.0255
