Title:               M2 Money Stock
Series ID:           M2
Source:              Board of Governors of the Federal Reserve System
Release:             H.6 Money Stock Measures
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Weekly, Ending Monday
Units:               Billions of Dollars
Date Range:          1980-11-03 to 2013-04-08
Last Updated:        2013-04-19 8:03 AM CDT
Notes:               M2 includes a broader set of financial assets held principally by
                     households. M2 consists of M1 plus: (1) savings deposits (which
                     include money market deposit accounts, or MMDAs); (2)
                     small-denomination time deposits (time deposits in amounts of less
                     than $100,000); and (3) balances in retail money market mutual funds
                     (MMMFs). Seasonally adjusted M2 is computed by summing savings
                     deposits, small-denomination time deposits, and retail MMMFs, each
                     seasonally adjusted separately, and adding this result to seasonally
                     adjusted M1.

DATE          VALUE
2002-08-26   5600.7
2002-09-02   5604.9
2002-09-09   5614.6
2002-09-16   5619.9
2002-09-23   5617.7
2002-09-30   5633.0
2002-10-07   5644.3
2002-10-14   5661.2
2002-10-21   5677.8
2002-10-28   5690.6
2002-11-04   5704.3
2002-11-11   5709.5
2002-11-18   5720.2
2002-11-25   5711.0
2002-12-02   5734.3
2002-12-09   5729.3
2002-12-16   5744.7
2002-12-23   5740.7
2002-12-30   5742.3
2003-01-06   5752.8
2003-01-13   5761.2
2003-01-20   5775.3
2003-01-27   5784.6
2003-02-03   5782.9
2003-02-10   5805.9
2003-02-17   5827.2
2003-02-24   5801.9
2003-03-03   5805.9
2003-03-10   5818.0
2003-03-17   5829.5
2003-03-24   5821.3
2003-03-31   5834.0
2003-04-07   5847.2
2003-04-14   5855.2
2003-04-21   5855.0
2003-04-28   5894.4
2003-05-05   5926.4
2003-05-12   5924.4
2003-05-19   5917.0
2003-05-26   5923.9
2003-06-02   5931.8
2003-06-09   5938.1
2003-06-16   5959.9
2003-06-23   5965.1
2003-06-30   5982.8
2003-07-07   6007.4
2003-07-14   6004.7
2003-07-21   6010.7
2003-07-28   6018.7
2003-08-04   6052.8
2003-08-11   6053.4
2003-08-18   6086.6
2003-08-25   6040.1
2003-09-01   6057.7
2003-09-08   6049.5
2003-09-15   6047.3
2003-09-22   6037.0
2003-09-29   6032.6
2003-10-06   6027.5
2003-10-13   6031.7
2003-10-20   6033.9
2003-10-27   6033.7
2003-11-03   6018.7
2003-11-10   6030.3
2003-11-17   6035.0
2003-11-24   6023.3
2003-12-01   6037.4
2003-12-08   6032.3
2003-12-15   6037.2
2003-12-22   6040.1
2003-12-29   6038.0
2004-01-05   6035.6
2004-01-12   6033.2
2004-01-19   6036.1
2004-01-26   6050.0
2004-02-02   6061.7
2004-02-09   6061.3
2004-02-16   6079.4
2004-02-23   6085.0
2004-03-01   6095.4
2004-03-08   6091.8
2004-03-15   6110.0
2004-03-22   6131.4
2004-03-29   6141.5
2004-04-05   6148.1
2004-04-12   6146.0
2004-04-19   6147.2
2004-04-26   6177.3
2004-05-03   6203.0
2004-05-10   6220.2
2004-05-17   6241.1
2004-05-24   6228.6
2004-05-31   6234.2
2004-06-07   6229.2
2004-06-14   6241.3
2004-06-21   6244.4
2004-06-28   6244.5
2004-07-05   6240.4
2004-07-12   6252.2
2004-07-19   6249.5
2004-07-26   6258.9
2004-08-02   6259.9
2004-08-09   6261.9
2004-08-16   6277.7
2004-08-23   6281.5
2004-08-30   6276.4
2004-09-06   6288.9
2004-09-13   6302.4
2004-09-20   6323.1
2004-09-27   6329.5
2004-10-04   6317.2
2004-10-11   6322.4
2004-10-18   6328.9
2004-10-25   6344.7
2004-11-01   6359.8
2004-11-08   6356.7
2004-11-15   6372.9
2004-11-22   6381.5
2004-11-29   6378.7
2004-12-06   6379.2
2004-12-13   6384.5
2004-12-20   6398.7
2004-12-27   6402.6
2005-01-03   6367.0
2005-01-10   6377.8
2005-01-17   6395.7
2005-01-24   6399.6
2005-01-31   6387.1
2005-02-07   6396.2
2005-02-14   6395.4
2005-02-21   6411.5
2005-02-28   6410.1
2005-03-07   6405.6
2005-03-14   6409.7
2005-03-21   6419.0
2005-03-28   6427.5
2005-04-04   6422.7
2005-04-11   6418.8
2005-04-18   6425.0
2005-04-25   6425.9
2005-05-02   6430.6
2005-05-09   6437.6
2005-05-16   6438.1
2005-05-23   6443.4
2005-05-30   6441.4
2005-06-06   6454.4
2005-06-13   6465.0
2005-06-20   6485.9
2005-06-27   6492.4
2005-07-04   6483.6
2005-07-11   6482.9
2005-07-18   6498.0
2005-07-25   6510.6
2005-08-01   6524.4
2005-08-08   6520.0
2005-08-15   6529.4
2005-08-22   6543.7
2005-08-29   6540.0
2005-09-05   6554.6
2005-09-12   6560.2
2005-09-19   6576.5
2005-09-26   6586.0
2005-10-03   6583.2
2005-10-10   6590.8
2005-10-17   6607.0
2005-10-24   6613.7
2005-10-31   6606.9
2005-11-07   6611.0
2005-11-14   6621.3
2005-11-21   6639.5
2005-11-28   6630.6
2005-12-05   6639.5
2005-12-12   6645.3
2005-12-19   6656.6
2005-12-26   6664.6
2006-01-02   6665.9
2006-01-09   6682.2
2006-01-16   6692.7
2006-01-23   6704.8
2006-01-30   6695.4
2006-02-06   6699.2
2006-02-13   6704.9
2006-02-20   6730.1
2006-02-27   6740.9
2006-03-06   6735.8
2006-03-13   6720.1
2006-03-20   6728.9
2006-03-27   6739.8
2006-04-03   6737.3
2006-04-10   6749.7
2006-04-17   6768.6
2006-04-24   6779.1
2006-05-01   6774.6
2006-05-08   6755.1
2006-05-15   6773.1
2006-05-22   6787.0
2006-05-29   6785.9
2006-06-05   6792.2
2006-06-12   6802.4
2006-06-19   6813.1
2006-06-26   6833.0
2006-07-03   6829.5
2006-07-10   6844.7
2006-07-17   6852.9
2006-07-24   6856.2
2006-07-31   6846.3
2006-08-07   6857.3
2006-08-14   6866.3
2006-08-21   6890.3
2006-08-28   6891.6
2006-09-04   6895.9
2006-09-11   6895.0
2006-09-18   6898.4
2006-09-25   6912.8
2006-10-02   6924.3
2006-10-09   6949.4
2006-10-16   6959.6
2006-10-23   6970.3
2006-10-30   6968.7
2006-11-06   6977.2
2006-11-13   6983.7
2006-11-20   6999.5
2006-11-27   7022.4
2006-12-04   7016.4
2006-12-11   7019.0
2006-12-18   7029.7
2006-12-25   7057.8
2007-01-01   7063.6
2007-01-08   7064.1
2007-01-15   7081.8
2007-01-22   7080.1
2007-01-29   7079.8
2007-02-05   7087.6
2007-02-12   7088.4
2007-02-19   7095.1
2007-02-26   7113.5
2007-03-05   7095.4
2007-03-12   7102.7
2007-03-19   7117.2
2007-03-26   7155.6
2007-04-02   7166.8
2007-04-09   7177.9
2007-04-16   7196.7
2007-04-23   7212.6
2007-04-30   7199.4
2007-05-07   7205.4
2007-05-14   7212.4
2007-05-21   7225.9
2007-05-28   7225.3
2007-06-04   7226.7
2007-06-11   7230.6
2007-06-18   7238.2
2007-06-25   7249.9
2007-07-02   7264.9
2007-07-09   7258.5
2007-07-16   7273.0
2007-07-23   7281.6
2007-07-30   7284.0
2007-08-06   7293.8
2007-08-13   7309.7
2007-08-20   7344.4
2007-08-27   7385.3
2007-09-03   7362.5
2007-09-10   7352.3
2007-09-17   7359.0
2007-09-24   7362.5
2007-10-01   7376.1
2007-10-08   7381.8
2007-10-15   7375.2
2007-10-22   7381.2
2007-10-29   7413.1
2007-11-05   7396.3
2007-11-12   7397.1
2007-11-19   7417.6
2007-11-26   7444.1
2007-12-03   7433.3
2007-12-10   7443.0
2007-12-17   7446.8
2007-12-24   7452.8
2007-12-31   7457.5
2008-01-07   7451.4
2008-01-14   7446.7
2008-01-21   7478.3
2008-01-28   7517.7
2008-02-04   7545.4
2008-02-11   7554.8
2008-02-18   7556.5
2008-02-25   7586.0
2008-03-03   7590.9
2008-03-10   7596.7
2008-03-17   7621.5
2008-03-24   7639.9
2008-03-31   7647.1
2008-04-07   7665.1
2008-04-14   7670.9
2008-04-21   7693.6
2008-04-28   7669.7
2008-05-05   7663.1
2008-05-12   7677.0
2008-05-19   7680.9
2008-05-26   7701.7
2008-06-02   7693.0
2008-06-09   7684.4
2008-06-16   7686.3
2008-06-23   7699.7
2008-06-30   7702.6
2008-07-07   7725.5
2008-07-14   7741.7
2008-07-21   7766.1
2008-07-28   7759.0
2008-08-04   7745.7
2008-08-11   7740.6
2008-08-18   7726.2
2008-08-25   7738.2
2008-09-01   7738.9
2008-09-08   7728.0
2008-09-15   7750.7
2008-09-22   7922.4
2008-09-29   7934.1
2008-10-06   7894.4
2008-10-13   7936.0
2008-10-20   7977.9
2008-10-27   7951.7
2008-11-03   7937.4
2008-11-10   7949.4
2008-11-17   7969.1
2008-11-24   8005.8
2008-12-01   8067.1
2008-12-08   8130.6
2008-12-15   8176.3
2008-12-22   8207.3
2008-12-29   8219.7
2009-01-05   8237.7
2009-01-12   8227.7
2009-01-19   8234.3
2009-01-26   8266.6
2009-02-02   8266.9
2009-02-09   8274.3
2009-02-16   8281.0
2009-02-23   8286.3
2009-03-02   8304.8
2009-03-09   8332.0
2009-03-16   8364.3
2009-03-23   8355.0
2009-03-30   8329.1
2009-04-06   8325.8
2009-04-13   8338.1
2009-04-20   8343.8
2009-04-27   8355.9
2009-05-04   8371.0
2009-05-11   8382.5
2009-05-18   8380.2
2009-05-25   8400.0
2009-06-01   8402.4
2009-06-08   8413.3
2009-06-15   8416.5
2009-06-22   8412.5
2009-06-29   8390.7
2009-07-06   8398.4
2009-07-13   8401.5
2009-07-20   8410.6
2009-07-27   8424.0
2009-08-03   8396.2
2009-08-10   8396.0
2009-08-17   8394.4
2009-08-24   8374.0
2009-08-31   8385.9
2009-09-07   8390.9
2009-09-14   8408.9
2009-09-21   8416.5
2009-09-28   8421.0
2009-10-05   8416.8
2009-10-12   8430.4
2009-10-19   8446.0
2009-10-26   8457.8
2009-11-02   8449.7
2009-11-09   8460.9
2009-11-16   8468.5
2009-11-23   8480.1
2009-11-30   8486.3
2009-12-07   8506.9
2009-12-14   8502.7
2009-12-21   8491.7
2009-12-28   8472.9
2010-01-04   8421.7
2010-01-11   8406.4
2010-01-18   8398.6
2010-01-25   8425.7
2010-02-01   8446.6
2010-02-08   8455.4
2010-02-15   8495.0
2010-02-22   8499.5
2010-03-01   8485.8
2010-03-08   8465.7
2010-03-15   8469.6
2010-03-22   8471.8
2010-03-29   8486.7
2010-04-05   8491.4
2010-04-12   8498.1
2010-04-19   8485.5
2010-04-26   8517.0
2010-05-03   8528.0
2010-05-10   8531.7
2010-05-17   8549.6
2010-05-24   8543.4
2010-05-31   8567.9
2010-06-07   8563.9
2010-06-14   8555.0
2010-06-21   8580.8
2010-06-28   8588.1
2010-07-05   8548.4
2010-07-12   8570.6
2010-07-19   8578.0
2010-07-26   8602.3
2010-08-02   8606.0
2010-08-09   8610.7
2010-08-16   8617.1
2010-08-23   8623.9
2010-08-30   8643.7
2010-09-06   8644.8
2010-09-13   8657.5
2010-09-20   8662.7
2010-09-27   8682.0
2010-10-04   8686.3
2010-10-11   8700.1
2010-10-18   8706.9
2010-10-25   8721.4
2010-11-01   8729.6
2010-11-08   8728.5
2010-11-15   8740.8
2010-11-22   8763.4
2010-11-29   8776.9
2010-12-06   8767.9
2010-12-13   8779.2
2010-12-20   8785.4
2010-12-27   8802.4
2011-01-03   8764.5
2011-01-10   8781.5
2011-01-17   8817.7
2011-01-24   8796.9
2011-01-31   8821.9
2011-02-07   8835.0
2011-02-14   8848.1
2011-02-21   8866.9
2011-02-28   8877.2
2011-03-07   8879.7
2011-03-14   8883.3
2011-03-21   8903.8
2011-03-28   8921.7
2011-04-04   8920.6
2011-04-11   8921.4
2011-04-18   8933.9
2011-04-25   8972.5
2011-05-02   8990.3
2011-05-09   8982.1
2011-05-16   8991.8
2011-05-23   9004.8
2011-05-30   9021.2
2011-06-06   9012.3
2011-06-13   9026.5
2011-06-20   9069.4
2011-06-27   9154.5
2011-07-04   9192.5
2011-07-11   9197.7
2011-07-18   9228.7
2011-07-25   9278.6
2011-08-01   9425.1
2011-08-08   9444.2
2011-08-15   9477.1
2011-08-22   9514.9
2011-08-29   9525.3
2011-09-05   9511.8
2011-09-12   9505.4
2011-09-19   9504.2
2011-09-26   9540.7
2011-10-03   9542.3
2011-10-10   9539.2
2011-10-17   9547.3
2011-10-24   9545.4
2011-10-31   9567.0
2011-11-07   9581.3
2011-11-14   9606.4
2011-11-21   9603.4
2011-11-28   9610.6
2011-12-05   9612.8
2011-12-12   9632.8
2011-12-19   9624.7
2011-12-26   9628.6
2012-01-02   9696.9
2012-01-09   9698.3
2012-01-16   9704.4
2012-01-23   9711.7
2012-01-30   9729.9
2012-02-06   9724.8
2012-02-13   9746.9
2012-02-20   9749.4
2012-02-27   9754.3
2012-03-05   9764.8
2012-03-12   9771.4
2012-03-19   9764.1
2012-03-26   9796.4
2012-04-02   9819.3
2012-04-09   9812.7
2012-04-16   9828.3
2012-04-23   9808.4
2012-04-30   9854.6
2012-05-07   9855.9
2012-05-14   9861.9
2012-05-21   9873.8
2012-05-28   9876.7
2012-06-04   9871.5
2012-06-11   9910.7
2012-06-18   9909.7
2012-06-25   9928.0
2012-07-02   9966.5
2012-07-09   9971.5
2012-07-16  10010.5
2012-07-23  10022.3
2012-07-30  10043.9
2012-08-06  10039.9
2012-08-13  10078.4
2012-08-20  10075.6
2012-08-27  10107.0
2012-09-03  10122.8
2012-09-10  10128.5
2012-09-17  10147.6
2012-09-24  10162.2
2012-10-01  10221.7
2012-10-08  10208.2
2012-10-15  10221.5
2012-10-22  10235.9
2012-10-29  10289.0
2012-11-05  10311.7
2012-11-12  10284.8
2012-11-19  10270.8
2012-11-26  10294.8
2012-12-03  10324.6
2012-12-10  10346.3
2012-12-17  10388.8
2012-12-24  10432.2
2012-12-31  10476.0
2013-01-07  10485.2
2013-01-14  10458.7
2013-01-21  10403.6
2013-01-28  10413.4
2013-02-04  10421.3
2013-02-11  10436.5
2013-02-18  10412.9
2013-02-25  10390.9
2013-03-04  10410.6
2013-03-11  10412.7
2013-03-18  10429.8
2013-03-25  10450.5
2013-04-01  10517.3
2013-04-08  10491.0
